year,month,day,hour,20th_&_e_st_nw_arrivals,new_hampshire_ave_&_24th_st_nw_arrivals,15th_st_&_constitution_ave_nw_departures,21st_&_i_st_nw_arrivals,17th_&_g_st_nw_arrivals,19th_st_&_constitution_ave_nw_departures,23rd_&_e_st_nw_arrivals,henry_bacon_dr_&_lincoln_memorial_circle_nw_arrivals,henry_bacon_dr_&_lincoln_memorial_circle_nw_departures,jefferson_dr_&_14th_st_sw_departures,jefferson_memorial_arrivals,jefferson_memorial_departures,18th_st_&_pennsylvania_ave_nw_arrivals,19th_st_&_constitution_ave_nw_arrivals,us_dept_of_state_/_virginia_ave_&_21st_st_nw_arrivals,virginia_ave_&_25th_st_nw_arrivals,virginia_ave_&_25th_st_nw_departures,19th_&_g_st_nw_arrivals,19th_st_&_pennsylvania_ave_nw_departures,22nd_st_&_constitution_ave_nw_arrivals,22nd_&_h_st_nw_arrivals,22nd_&_h_st_nw_departures,17th_&_g_st_nw_departures,19th_&_g_st_nw_departures,21st_st_&_constitution_ave_nw_arrivals,21st_st_&_constitution_ave_nw_departures,21st_st_&_pennsylvania_ave_nw_arrivals,21st_st_&_pennsylvania_ave_nw_departures,22nd_&_i_st_nw_/_foggy_bottom_arrivals,22nd_&_i_st_nw_/_foggy_bottom_departures,kennedy_center_arrivals,kennedy_center_departures,18th_st_&_pennsylvania_ave_nw_departures,22nd_st_&_constitution_ave_nw_departures,23rd_&_e_st_nw_departures,lincoln_memorial_departures,18th_&_c_st_nw_departures,21st_&_i_st_nw_departures,new_hampshire_ave_&_24th_st_nw_departures,ohio_dr_&_west_basin_dr_sw_/_mlk_&_fdr_memorials_arrivals,ohio_dr_&_west_basin_dr_sw_/_mlk_&_fdr_memorials_departures,us_dept_of_state_/_virginia_ave_&_21st_st_nw_departures,15th_st_&_constitution_ave_nw_arrivals,17th_st_&_independence_ave_sw_arrivals,18th_&_c_st_nw_arrivals,19th_st_&_pennsylvania_ave_nw_arrivals,19th_&_e_street_nw_departures,jefferson_dr_&_14th_st_sw_arrivals,lincoln_memorial_arrivals,20th_&_e_st_nw_departures,17th_st_&_independence_ave_sw_departures,19th_&_e_street_nw_arrivals,20th_st_&_virginia_ave_nw_arrivals,20th_st_&_virginia_ave_nw_departures,19th_&_k_st_nw_arrivals,19th_&_k_st_nw_departures,crystal_dr_&_23rd_st_s_arrivals,smithsonian-national_mall_/_jefferson_dr_&_12th_st_sw_arrivals,7th_&_t_st_nw_arrivals,crystal_dr_&_15th_st_s_arrivals,20th_&_o_st_nw_/_dupont_south_arrivals,eads_st_&_12th_st_s_arrivals,iwo_jima_memorial_/_meade_&_14th_st_n_arrivals,potomac_&_m_st_nw_arrivals,gravelly_point_arrivals,21st_st_&_g_st_nw_arrivals,21st_st_&_g_st_nw_departures,maine_ave_&_9th_st_sw_arrivals,roosevelt_island_arrivals,n_lynn_st_&_fairfax_dr_arrivals,4th_st_&_g_st_sw_arrivals,20th_&_l_st_nw_arrivals,15th_st_&_pennsylvania_ave_nw_arrivals,woodley_park_metro_/_calvert_st_&_connecticut_ave_nw_arrivals,15th_&_p_st_nw_arrivals,reservoir_rd_&_38th_st_nw_arrivals,3000_connecticut_ave_nw_/_national_zoo_arrivals,white_house_departures,white_house_arrivals,stadium_armory_metro_arrivals,maximum_temperature,minimum_temperature,temperature,wind_chill,heat_index,precipitation,snow,snow_depth,wind_speed,wind_direction,wind_gust,visibility,cloud_cover,relative_humidity,conditions,sun_is_out
2020,May,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.9,56.9,56.9,NA,NA,0,0,0,10.2,341,NA,9.9,94.5,87.97,Overcast,0
2020,May,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.8,55.8,55.8,NA,NA,0.01,0,0,3.4,8,NA,9.9,96.6,90.34,"Rain, Overcast",0
2020,May,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.8,55.8,55.8,NA,NA,0,0,0,0.4,356,NA,9.9,94.5,90.46,Overcast,0
2020,May,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.9,53.9,53.9,NA,NA,0.02,0,0,5.5,331,NA,9.7,58.6,93.57,"Rain, Partially cloudy",0
2020,May,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.9,53.9,53.9,NA,NA,0,0,0,5.6,328,NA,9.9,63.6,93.49,Partially cloudy,0
2020,May,1,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.9,54.9,54.9,NA,NA,0,0,0,0.3,347,NA,9.8,90.2,87.41,Overcast,1
2020,May,1,7,0,0,0,1,2,1,1,4,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,55,NA,NA,0,0,0,11.1,321,NA,9.9,97.6,80.4,Overcast,1
2020,May,1,8,0,0,0,0,0,0,2,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.8,53.8,53.8,NA,NA,0,0,0,12.4,320,23,9.9,94.5,80.71,Overcast,1
2020,May,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.9,52.9,52.9,NA,NA,0.01,0,0,13.3,320,NA,9.9,73.1,83.25,"Rain, Partially cloudy",1
2020,May,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.8,53.8,53.8,NA,NA,0.06,0,0,7.8,312,NA,9.6,97,83.5,"Rain, Overcast",1
