Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"38.8893, -77.0502",5/1/20 0:00,57.6,57.6,57.6,,,0,0,0,3.1,154,,9.9,94.7,94.05,Overcast
"38.8893, -77.0502",5/1/20 1:00,56.9,56.9,56.9,,,0,0,0,10.2,341,,9.9,94.5,87.97,Overcast
"38.8893, -77.0502",5/1/20 2:00,55.8,55.8,55.8,,,0.01,0,0,3.4,8,,9.9,96.6,90.34,"Rain, Overcast"
"38.8893, -77.0502",5/1/20 3:00,55.8,55.8,55.8,,,0,0,0,0.4,356,,9.9,94.5,90.46,Overcast
"38.8893, -77.0502",5/1/20 4:00,53.9,53.9,53.9,,,0.02,0,0,5.5,331,,9.7,58.6,93.57,"Rain, Partially cloudy"
"38.8893, -77.0502",5/1/20 5:00,53.9,53.9,53.9,,,0,0,0,5.6,328,,9.9,63.6,93.49,Partially cloudy
"38.8893, -77.0502",5/1/20 6:00,54.9,54.9,54.9,,,0,0,0,0.3,347,,9.8,90.2,87.41,Overcast
"38.8893, -77.0502",5/1/20 7:00,55,55,55,,,0,0,0,11.1,321,,9.9,97.6,80.4,Overcast
"38.8893, -77.0502",5/1/20 8:00,53.8,53.8,53.8,,,0,0,0,12.4,320,23,9.9,94.5,80.71,Overcast
"38.8893, -77.0502",5/1/20 9:00,52.9,52.9,52.9,,,0.01,0,0,13.3,320,,9.9,73.1,83.25,"Rain, Partially cloudy"
"38.8893, -77.0502",5/1/20 10:00,53.8,53.8,53.8,,,0.06,0,0,7.8,312,,9.6,97,83.5,"Rain, Overcast"
"38.8893, -77.0502",5/1/20 11:00,56.7,56.7,56.7,,,0,0,0,11.1,339,,9.9,66.4,81.52,Partially cloudy
"38.8893, -77.0502",5/1/20 12:00,62.5,62.5,62.5,,,0,0,0,12.3,339,17.2,9.9,67.6,67.87,Partially cloudy
"38.8893, -77.0502",5/1/20 13:00,64.7,64.7,64.7,,,0,0,0,13.9,301,17.2,9.9,51.3,52.7,Partially cloudy
"38.8893, -77.0502",5/1/20 14:00,64.8,64.8,64.8,,,0,0,0,16,346,24,9.9,87.6,50.4,Overcast
"38.8893, -77.0502",5/1/20 15:00,64,64,64,,,0,0,0,14.7,310,23,9.9,69.3,48.12,Partially cloudy
"38.8893, -77.0502",5/1/20 16:00,65.8,65.8,65.8,,,0,0,0,13.8,337,24,9.9,49.3,46.58,Partially cloudy
"38.8893, -77.0502",5/1/20 17:00,64,64,64,,,0,0,0,15.7,319,21.9,9.9,89,46.14,Overcast
